message_id,content,positive_RA1,category_RA1,positive_RA2,category_RA2,AGREED,CAT_AGREED,positive_db,positive_sm,category_db,category_sm,vote_resolved,category_resolved,final_vote,final_category,final_category_standardized
TLA4QoiHv0=H=HxLgKAgOqZqY2fBtGGKcObUqESNNTS1,"Hi Curtis, thanks for reaching out. The best way to get into our investment process is to give us as much info here as possible: [URL] Thanks again and I look forward to finding out more!",1,more info/clarification,1,formal application,1,0,,,,,,formal application,1,formal application,formal application
N5XOW4BYc95NidzO68I1lQaiwOJ6tg+sjOoFEbqNpbLE,"Hi Curtis,We're not interested thank you.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
dB=8GcLrFFDzRP8AVLtfaMWLF8euMY6pEVIo6HdQYjE4,"Unfortunately, I'm not interested. Kindly unsubscribe me from your list.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
HC6dwsbbV-p0HAASAlhYb2=UBX29dXmxL6x2z767Wi8b,"We were intrigued by your startup and the pitch deck you have presented. However, we are not willing to invest in startups at such an early stage.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
zUzajmZahCuz3vUqPmeNKDMACaWBgMGi7KwW-QKCsExH,"Hi Curtis, Thank you for reaching out to [FIRM]. Unfortunately, this is a pass for us as it is outside of our core investment thesis. We wish you the best of luck in the future!",0,portfolio conflict,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
p00YTyE1uEbaLy3V56GSWW+ojsiRvyqnA+YTW2i+P2Rq,Thank you for sharing your pitch deck with me. While I'm not interested in investing. LMK,0,no investments,1,referral,0,0,0,0,no specific reason,no investments,0,no specific reason,0,no specific reason,no specific reason
p2-=VO9U4X6uyT+b8UfHoMKAHzfeI5dMGO4H-7c3Ysfy,Could send a more detailed deck please?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
j-mMT2AYtqarjA4AEVjI6DZm5xWZPSw8MQPM9rPMUMOg,"Thank you for reaching out and sharing your pitch deck. Although I'm not currently investing in this space, [NAME] who may be interested in learning more. Can I connect you?",1,referral,1,referral,1,1,,,,,,,1,referral,referral
BTe=BZ0fGHd4+Wg5tTUrJyX+yBNWrOF-7P9d32K+Hx0n,"Thank you for sharing your pitch deck with us, but we are currently prioritizing investments in companies with a proven track record.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
cIGPKQ5ReTGrjK3fgiM456XlSgQndoJ=eZaKZWioU=qF,Thank you for reaching out with your pitch. I'm intrigued and would love to set up a meeting to learn more about your startup. Can you provide a few dates and times that work for you?,1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
ANB1WYKUD2+hwa9ZT4Ux9qIAJHkcDjEdZMTDKc=qF2HF,"Wrong name, wrong person, wrong email. Please unsubscribe and delete. Thank you.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
XHh6iokCzYIw1ky1ZbxUk2UHImHSRQr3CisVxi61Qv9F,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
IbbgxJJ-11V6Bkxw2QsphBgEdjjWl=3W-ARtkGtGOu2p,How does your cap table look like?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
JbG7XD0QGgf-wFF0PffSmcVZ78MbuEVrgX5OHjpl-CCB,"Hi Curtis, thanks for sharing your pitch deck. I think your employee perks platform is a promising idea, but I have some reservations about the size of the market and the level of demand for this type of solution. Can you provide more information on your market research and customer discovery efforts?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
